2016/5/1 1:05,西瓜妹妹爱西瓜,5,下载不要钱 音质很不错 界面很简洁 很喜欢
2016/5/1 2:05,简单加平凡,5,音质很好，歌曲很全
2016/5/1 2:23,这点逼事,5,希望出来个，根据每个人的习惯，推荐歌曲，其他的播放器都有这个功能了
2016/5/1 3:27,dreamgirl1067290988,1,我觉得有点太过分了，几乎每首好听的歌都要付费这是什么鬼啊，这样子的话可能会放弃酷狗
2016/5/1 3:49,????,5,不错
2016/5/1 5:18,风儿吹人老,5,用着顺手
2016/5/1 7:30,Wj12ｘｇ３５２,5,太好的，非常喜欢
2016/5/1 7:55,玖萱尤舞,1,酷狗是不是快完蛋了，啥瘠薄歌都没有，要是没有快点倒闭了得了！！！
2016/5/1 10:03,等待吧?,1,垃圾 东西 都要付费的歌  现在 真的变了  垃圾了
2016/5/1 10:03,liufeng524,5,很好
2016/5/1 10:08,一个小伙ygxh,4,还可以吧，期待做的更好
2016/5/1 11:04,马德力,5,以前一直用酷我  现在用酷狗功能比酷我多很多喜欢用酷狗听音乐了   一直顶你
2016/5/1 11:21,A翔@,3,没有以前的版本好了 希望能改一下
2016/5/1 12:32,唯唯爱,5,果断好
2016/5/1 12:56,想要你的全部,5,软件非常好，好到爆炸的软件，一款全球值得拥有的软件。
2016/5/1 13:25,小圈猫,5,好用
2016/5/1 13:27,1655470814,1,以前挺喜欢酷狗，现在什么都要收费，好听一点的歌都要收费，大家卸载吧。越来越脱离大众了。
2016/5/1 13:30,孤独求胜123,5,挺好的。要是能设置铃声就更好了
2016/5/1 14:10,合群头发,1,怎么现在好多歌曲都需要收费下载，其他播放器都不需要
2016/5/1 14:38,cu'lew,1,不怎么好用了
2016/5/1 15:59,跳舞的马,5,自一从一快一播一不一能一用一后，不一知一道一伤一了一多一少一人一的一心，好一在一有一快一播一Q一群 6522040 内一有一万一部一经一典一大一片一哦。
2016/5/1 17:00,逸雪菱歌,1,数据库一直在升级，根本用不了
2016/5/1 17:50,君陌问,5,好用
2016/5/1 18:50,他她她它们,5,高品质，会让耳朵怀孕
2016/5/1 21:29,小说不能看了，,3,为什么那么多歌曲收费了？？？？？？
2016/5/1 22:45,Ansx,5,真好
